Itsutsu no Shohin: Nishikigi ni yosete - Five Sketches: On Nishikigi,"The Art of the Koto, Vol. 3: Works for Nijugen",Nanae Yoshimura,4,True,0.485,0.107,4,-23.645,0,0.0498,0.931,0.872,0.0487,0.102,104.022,181973,3.0,2003-01-01
Firebird Suite: The Firebird's Variations,"Stravinsky: Rite of Spring, Firebird Suite, Scherzo, Tango","Budapest Festival Orchestra, Iván Fischer",17,True,0.321,0.0731,6,-27.302,1,0.0587,0.946,0.0048,0.66,0.369,186.752,87427,3.0,2012-03-12
The Sun,Swans,Cave,6,True,0.404,0.849,8,-7.867,1,0.351,0.205,0.0,0.308,0.328,98.073,199059,4.0,2020-08-09
"Keyboard Suite No. 8 (Set II) in G Major, HWV 441: V. Menuetto","Handel: Suites for Harpsichord, Vol. 1","George Frideric Handel, Gilbert Rowland",9,True,0.268,0.318,1,-19.455,1,0.0348,0.86,0.181,0.081,0.698,88.17,272147,4.0,2013-04-01
Fat Cats,Terrible Twos,Terrible Twos,9,True,0.381,0.976,7,-3.209,1,0.0925,0.0001,0.0011,0.295,0.454,96.752,117467,4.0,2008-02-15
House Of Wood,Live At Montreux Jazz Festival - 2002,Mandrill,8,True,0.493,0.241,10,-14.615,1,0.163,0.787,0.0,0.142,0.431,127.5,397920,4.0,2004-10-28
Mon bebe,Papa Chante,"""Christopher MadDene""",8,True,0.632,0.31,2,-13.472,0,0.0359,0.748,0.0,0.235,0.735,100.107,244738,5.0,2002-01-01
Loch Long,Celtic Renaissance,Mark Britten,1,True,0.156,0.573,0,-16.021,1,0.119,0.545,0.614,0.954,0.259,82.08,243187,4.0,1998-01-01
Underclocked,Vinculum,2caves,9,True,0.566,0.621,7,-11.075,1,0.0469,0.301,0.889,0.0683,0.0284,127.991,564480,4.0,2014-01-01
The Children's Hour,Mists: Charles Ives for Jazz Orchestra,Jack Cooper,3,True,0.378,0.219,4,-16.368,0,0.0287,0.882,0.886,0.0833,0.226,96.66,484667,4.0,2014-08-22
Callin' Heaven,Stomp the Floor,Arthur Adams,7,True,0.432,0.369,7,-8.984,1,0.0379,0.881,0.0002,0.136,0.415,78.273,220093,4.0,2009-11-17
Ballet Suite No. 2 (arr. L. Atovmyan): Finale (Galop) (Limpid Stream),Shostakovich: Ballet Suites Nos. 1-4,"Lev Atovmyan, Dmitri Shostakovich",12,True,0.443,0.467,10,-15.927,1,0.0413,0.892,0.878,0.0692,0.563,168.335,210400,4.0,2004-10-06
That Lonesome Bluebird Call,Mountain Bound,The Blue Canyon Boys,9,True,0.665,0.619,7,-8.523,1,0.0306,0.406,0.0001,0.103,0.331,120.055,188773,5.0,2010-06-28
Better,Contingency Plan,Gary Schutt,2,True,0.605,0.927,1,-4.266,1,0.0413,0.0002,0.0005,0.222,0.471,104.004,235417,4.0,2010-12-21
in case you forgot,"Sorry I'm Toxic, Y'all Won",Craigy F.,9,True,0.471,0.534,0,-8.42,0,0.334,0.778,0.0001,0.184,0.444,139.888,276890,4.0,2020-02-14
I Got What U Need (Feat. Tria),Young Mugzi Presents.... Lifestyles Of The Disobayish,"Poppi Cas, Tria",17,True,0.9,0.536,1,-7.457,1,0.303,0.0815,0.0,0.408,0.806,95.01,210600,4.0,2004-01-01
The Price of Suga',The Groovy Goodness,Fo/Mo/Deep,9,True,0.422,0.734,5,-6.839,0,0.0522,0.0178,0.746,0.114,0.739,79.695,293973,4.0,2014-06-03
Annettes Got The Hits,"Incomplete Crap, Vol.2",F.Y.P,36,True,0.31,0.798,0,-5.002,0,0.0727,0.0102,0.0009,0.208,0.7,144.42,63640,4.0,1996-01-01
Ghetto Woman,Stop Breaking Down,Eddie Taylor Jr.,2,True,0.517,0.625,5,-10.019,0,0.0277,0.298,0.509,0.307,0.82,179.984,356240,4.0,2015-06-09
Dirt Road Anthem,Ride Through the Country (Deluxe),"Colt Ford, Brantley Gilbert",10,True,0.788,0.639,2,-6.974,1,0.0498,0.275,0.0,0.177,0.944,129.995,224467,4.0,2018-06-29
Intro,Hood Arrest,MC Eiht,1,True,0.698,0.123,10,-12.482,1,0.735,0.31,0.0,0.356,0.902,88.636,29467,4.0,2003-01-01
"The Man I Love from ""Strike up the Band"" (1927)",NPR Milestones of the Millennium: World War I,"George Gershwin, Fred Rich",18,True,0.486,0.126,5,-18.652,0,0.0409,0.963,0.0099,0.346,0.502,150.24,186987,4.0,1917-01-01
Saison Triste on Lac of Baies,Kyle Bobby Dunn and the Infinite Sadness,Kyle Bobby Dunn,6,True,0.0647,0.136,10,-22.944,1,0.0398,0.986,0.848,0.106,0.0338,70.988,476426,5.0,2014-06-10
"Cello Sonata No. 2, Op. 63: III. Allegro","Weinberg: Piano Quintet, Piano Sonatina & Cello Sonata No. 2","Mieczysław Weinberg, Andrew Yee",11,True,0.52,0.162,0,-16.54,0,0.0368,0.98,0.797,0.131,0.292,96.61,404399,4.0,2018-04-20
Nosso Grito,Abre a Janela,Alo Brasil,9,True,0.659,0.762,6,-7.93,1,0.0387,0.499,0.0,0.113,0.602,105.081,312987,4.0,2006-01-01
The Open Road,Salieri's Revenge,Josh Kutchai,1,True,0.481,0.845,0,-4.122,1,0.0306,0.0518,0.0,0.481,0.199,91.962,310333,4.0,2013-01-07
There Is No There,The Lemon of Pink (Remastered),The Books,7,True,0.643,0.511,10,-8.708,1,0.0279,0.919,0.782,0.202,0.175,108.045,216747,4.0,2011-01-25
Houdini,Antisocial 1.5,Band Gang Lonnie Bands,7,True,0.783,0.657,2,-7.127,1,0.233,0.65,0.0,0.102,0.56,94.983,151637,4.0,2020-10-09
Sweet Life,Sweet Life,Catie Curtis,1,True,0.431,0.552,2,-6.814,1,0.0257,0.578,0.0002,0.3,0.413,179.946,205733,4.0,2008-09-09
Stay with me 'til the morning,The New Amadeus Mozart,The New London Chorale,2,True,0.383,0.392,5,-10.699,1,0.0288,0.733,0.0,0.126,0.176,131.612,234360,4.0,1997-09-26
"Encore, Otra Vez, 1 More Time",The Anthem,Darin,5,True,0.492,0.601,4,-7.382,1,0.0291,0.109,0.0,0.371,0.186,90.976,207213,4.0,2005-01-20
Belle?,Pale,Diorama,7,True,0.603,0.813,10,-7.973,0,0.0362,0.233,0.0055,0.106,0.156,102.513,379878,4.0,1999-09-24
Tora Arxiso,Commissions,Blaine L. Reininger,13,True,0.0944,0.314,2,-25.506,0,0.0456,0.79,0.972,0.308,0.165,69.419,243960,3.0,2013-01-01
Shaman Of Belief,Symmetry In Black,Crowbar,8,True,0.565,0.936,5,-5.038,1,0.0845,0.0,0.0051,0.0856,0.493,123.087,218267,4.0,2014-05-27
Soil Raps feat. Keak Da Sneak,White Van Music,Jake One,19,True,0.553,0.74,2,-6.054,1,0.351,0.0219,0.0,0.151,0.69,80.904,248027,4.0,2008-10-07
The World Is Inna Mess,Talk the Truth,Isasha,6,True,0.69,0.561,7,-7.006,1,0.187,0.292,0.0,0.0784,0.814,79.977,203845,4.0,2017-05-26
Homecoming,Second Sight,Biblical,2,True,0.235,0.698,2,-5.48,1,0.0467,0.0053,0.907,0.115,0.0352,81.585,272147,4.0,2013-12-03
"No Traffic, No Trees",Terrible Town,Olin And The Moon,8,True,0.612,0.533,0,-7.406,1,0.0261,0.479,0.0,0.141,0.353,136.869,231267,3.0,2009-05-06
"April 14, 1865",The Conspirator - (s)Edition,Mark Isham,3,True,0.177,0.225,6,-13.81,1,0.0394,0.838,0.934,0.111,0.0339,97.846,171040,4.0,2011-04-05
New Life,Now You Are This,Numbers,1,True,0.328,0.957,0,-4.208,1,0.0832,0.0001,0.872,0.352,0.379,124.496,201213,4.0,2007-01-01
New Situation,Barry 7's Connectors 2,Giampiero Boneschi,7,True,0.518,0.434,6,-14.658,1,0.0322,0.715,0.0044,0.227,0.474,158.021,182067,4.0,2002-11-18
The Sound of Snowflakes Touching the Ground - Remastered,Mossebo (Special Edition),"Johan Agebjörn, Lisa Barra",2,True,0.325,0.412,2,-16.045,0,0.0338,0.108,0.9,0.103,0.039,113.999,525461,4.0,2008-09-09
The Long Way Home,The Long Way Home,Linda Allen,1,True,0.476,0.167,7,-16.834,1,0.037,0.665,0.0002,0.131,0.434,131.319,241667,4.0,1999-01-01
Hell Train,Back Where You Belong,Soul Shine Society,3,True,0.39,0.783,7,-7.226,1,0.0539,0.0061,0.858,0.145,0.713,161.649,209640,4.0,2014-08-26
Intermission,Narcoleptic Pianist,Danny Birt,7,True,0.298,0.0589,0,-26.9,1,0.0621,0.994,0.938,0.108,0.123,76.506,119227,5.0,2002-03-26
Hit Record,Eat My Dust,Kowtow Popof,5,True,0.475,0.914,9,-7.246,1,0.0785,0.0046,0.0,0.342,0.773,164.853,182000,4.0,1999-01-01
Yato,Patty Mayonnaise,Darren Isaiah,2,True,0.643,0.757,7,-7.461,1,0.0741,0.0255,0.0,0.248,0.403,86.97,224557,4.0,2020-01-28
Only Broken Heart,Only Broken Heart,Warrant,1,True,0.333,0.904,5,-2.936,0,0.0516,0.0006,0.0,0.132,0.531,154.748,292063,4.0,2017-03-24
I Couldn't Leave You If I Tried,Diamonds & Dirt,Rodney Crowell,2,True,0.637,0.703,0,-8.54,1,0.027,0.202,0.0,0.24,0.893,136.466,197733,4.0,1988-01-01
Masterwish,Masterwish,Danny Newcomb & the Sugarmakers,5,True,0.311,0.69,6,-3.432,1,0.0456,0.0121,0.0,0.126,0.344,111.28,254467,4.0,2015-08-01
Messages - Original Mix,On The Inner Plains,Ttam Renat,1,True,0.678,0.818,6,-8.301,0,0.0465,0.0004,0.865,0.842,0.539,123.968,603414,4.0,2013-10-31
